Title,Id,Year,Duration,Maturity Rating,Genre,Synopsis
Cagaster of an Insect Cage,80224581,2020,1,18+ ,TV Shows,"Thirty years after a disease that turns the infected into carnivorous insects emerged, a young exterminator and a teenage girl search for her mother."
The End of the F***ing World,80175722,2017,2,18+ ,Award-Winning TV Shows,A budding teen psychopath and a rebel hungry for adventure embark on a star-crossed road trip in this darkly comic series based on a graphic novel.
Shadowhunters: The Mortal Instruments,80084447,2016,4,18+ ,Award-Winning TV Shows,The life of typical teen Clary Fray is upended when she learns that she's part of a race of demon-hunting humans who have the blood of angels.
Elite,80200942,2018,2,18+ ,TV Shows,"When three working-class teens enroll in an exclusive private school in Spain, the clash between them and the wealthy students leads to murder."
Anne with an E,80136311,2017,3,16+ ,Award-Winning TV Shows,"A plucky orphan whose passions run deep finds an unlikely home with a spinster and her soft-spoken bachelor brother. Based on ""Anne of Green Gables."""
Selection Day,80194558,2018,1,13+ ,TV Shows,Two teen cricket prodigies struggle against their overbearing father and a system stacked against them to realize their own ambitions and identities.
Love Alarm,80168068,2019,1,16+ ,TV Shows,"In a world where an app alerts people if someone in the vicinity likes them, Kim Jojo experiences young love while coping with personal adversities."
Insatiable,80179905,2018,2,18+ ,TV Shows,"A bullied teenager turns to beauty pageants as a way to exact her revenge, with the help of a disgraced coach who soon realizes he's in over his head."
Meteor Garden,81005504,2018,1,16+ ,TV Shows,"Dong Shancai is determined to excel at her dream university, where she encounters an elite clique of dashing, popular high-achievers -- and finds love."
October Faction,80221644,2020,1,18+ ,TV Shows,"The family drama gets downright monstrous as parents Fred and Deloris hunt the supernatural, and twins Viv and Geoff harbor their own strange secrets."
Atypical,80117540,2017,3,18+ ,TV Shows,"When a teen on the autism spectrum decides to get a girlfriend, his bid for more independence puts his whole family on a path of self-discovery."
How to Sell Drugs Online (Fast),80218448,2019,1,18+ ,TV Shows,"To win back his ex-girlfriend, a nerdy teen starts selling ecstasy online out of his bedroom -- and becomes one of Europe's biggest dealers."
Luna Nera,80244780,2020,1,16+ ,Period Pieces,"In 17th-century Italy, a teenager learns about her destiny among a family of witches, just as her boyfriend's father hunts her down for witchcraft."
Daybreak,80197462,2019,1,18+ ,TV Shows,"Living his best life in post-apocalyptic LA, a slacker strives to find the girl of his dreams while outwitting mindless ghouls and cliquish gangs."
The Rain,80154610,2018,2,18+ ,TV Shows,"Six years after a brutal virus wipes out most of Scandinavia's population, two siblings join a band of young survivors seeking safety -- and answers."
Baby,80211634,2018,2,18+ ,TV Shows,"Fed up with their families and classmates, two teen girls from a wealthy part of Rome are drawn to the city's underworld and start leading double lives."
The Society,80197989,2019,1,18+ ,TV Shows,"When everyone else mysteriously vanishes from their wealthy town, the teen residents of West Ham must forge their own society to survive."
The Order,80238357,2019,1,16+ ,TV Shows,"Out to avenge his mother's death, a college student pledges a secret order and lands in a war between werewolves and practitioners of dark magic."
Jinn,80220816,2019,1,16+ ,TV Shows,"A field trip to Petra causes two jinns -- one good, the other evil -- to enter the human realm, turning high school into a supernatural battleground."
Teasing Master Takagi-san,80228274,2018,1,13+ ,Comedy Anime,"Teased constantly by classmate Takagi-san, middle-schooler Nishikata swears payback by trying (and failing) to give her a dose of her own medicine."
Trinkets,80230561,2019,1,18+ ,TV Shows,A grieving teen finds an unexpected connection with two classmates at her new high school after they all land in the same Shoplifters Anonymous group.
The Stranded,80242491,2019,1,18+ ,TV Shows,"Trapped on an island destroyed by a tsunami, the students of an elite school try to hold on to hope. But mysterious forces seem to work against them."
Derry Girls,80238565,2018,2,18+ ,TV Shows,"Amidst the political conflict of Northern Ireland in the 1990s, five high school students square off with the universal challenges of being a teenager."
The Prince of Tennis ~ Match! Tennis Juniors ~,81135440,2019,1,16+ ,TV Shows,A tennis whiz beats the odds to excel on the court while juggling school and inspiring teammates. Based on the hit manga series by Takeshi Konomi.
The Politician,80241248,2019,1,18+ ,TV Shows,Rich kid Payton has always known he's going to be president. But first he has to navigate the most treacherous political landscape of all: high school.
Good Morning Call,80092878,2016,2,16+ ,TV Shows,"A high school girl finally gets her own apartment, but she has to share it with the most popular boy in school. No one can know they're living together."
Scream,80053653,2015,2,18+ ,TV Shows,Memories of a town's dark past are stirred when a group of teenagers is targeted by a masked slasher in this serialized anthology series.
On My Block,80117809,2018,2,18+ ,TV Shows,"In a rough inner-city Los Angeles neighborhood, four smart, funny and streetwise teens find their lifelong friendship tested as they begin high school."
Cheer,81039393,2020,1,16+ ,"Reality, Variety & Talk Shows",This gripping docuseries follows the ups and downs of Navarro College's competitive cheer squad as they work to win a coveted national title.
American Vandal,80117545,2017,2,18+ ,TV Shows,"In the wake of their first documentary's success, Peter and Sam seek a new case and settle on a stomach-churning mystery at a Washington high school."
Unrequited Love,80993627,2019,1,13+ ,TV Shows,"A complicated, one-sided secret attraction sends ripples through the lives of a mild-mannered student and her dashing classmate."
The A List,80196382,2018,1,13+ ,TV Shows,"Romance, rivalry and radical mystery collide as a group of teens attend a remote island sleepaway camp in this suspenseful, supernatural drama."
3%,80074220,2016,3,18+ ,Brazilian TV Shows,"In a future where the elite inhabit an island paradise far from the crowded slums, you get one chance to join the 3% saved from squalor."
Degrassi: Next Class,80062047,2016,4,18+ ,TV Shows,"Degrassi's next generation of high-tech newbies and returning students navigates real-world high school drama. If you're a teen, this is your life."
Always a Witch,80205595,2018,1,18+ ,TV Shows,"A young 17th-century witch time travels to the future to save the man she loves, but first must adjust to present-day Cartagena and defeat a dark rival."
